electrode_label,kicad_reference,connector,connector_pin,grid_row_by_kicad_y,grid_column_by_kicad_x,kicad_x_mm,kicad_y_mm
E01,U1,J1,1,3,5,300.000,188.000
E02,U2,J1,2,2,4,256.750,143.425
E03,U3,J1,3,3,4,256.750,188.000
E04,U4,J1,4,3,3,213.500,188.000
E05,U5,J1,5,2,2,170.250,143.425
E06,U6,J1,6,3,2,170.250,188.000
E07,U7,J1,7,3,1,127.000,188.000
E08,U8,J1,8,2,1,127.000,143.425
E09,U9,J1,9,1,1,127.000,96.950
E10,U10,J1,10,1,2,170.250,96.950
E11,U11,J1,11,1,3,213.500,96.950
E12,U12,J1,12,2,3,213.500,143.425
E13,U13,J1,13,1,4,256.750,96.950
E14,U14,J1,14,1,5,300.000,96.950
E15,U15,J1,15,2,5,300.000,143.425
SPARE/NC,,J1,16,,,,
